sprechrolleID	hörspielID	rolleID	position
324	24	188	6
325	24	189	7
326	24	190	8
327	24	191	9
328	24	58	10
329	24	192	11
330	24	193	12
331	24	13	13
332	24	194	14
333	24	195	15
334	24	12	16
335	25	1	1
336	25	2	2
337	25	3	3
338	25	4	4
339	25	196	5
340	25	13	6
341	25	197	7
342	25	198	8
343	25	199	9
344	25	12	10
345	25	200	11
346	25	201	12
347	25	202	13
348	25	203	14
349	25	204	15
350	26	1	1
351	26	2	2
352	26	3	3
353	26	4	4
354	26	196	5
355	26	205	6
356	26	206	7
357	26	183	8
358	26	207	9
359	26	208	10
360	26	209	11
361	26	210	12
362	27	1	1
363	27	2	2
364	27	3	3
365	27	4	4
366	27	211	5
367	27	212	6
368	27	213	7
369	27	214	8
370	27	215	9
371	27	216	10
372	27	217	11
373	27	218	12
374	27	219	13
375	28	1	1
376	28	2	2
377	28	3	3
378	28	4	4
379	28	12	5
380	28	13	6
381	28	39	7
382	28	220	8
383	28	221	9
384	28	222	10
385	28	223	11
386	28	224	12
387	28	225	13
388	28	226	14
389	28	57	15
390	30	1	1
391	30	2	2
392	30	3	3
393	30	4	4
394	30	227	5
395	30	228	6
396	30	229	7
397	30	230	8
398	30	231	9
399	30	232	10
400	30	233	11
401	30	234	12
402	30	235	13
403	30	236	14
404	31	1	1
405	31	2	2
406	31	3	3
407	31	4	4
408	31	237	5
409	31	238	6
410	31	239	7
411	31	240	8
412	31	241	9
413	31	242	10
414	31	31	11
415	31	243	12
416	31	244	13
417	31	245	14
418	31	81	15
419	32	1	1
420	32	2	2
421	32	3	3
422	32	4	4
423	32	246	5
424	32	247	6
425	32	248	7
426	32	249	8
427	32	250	9
428	32	251	10
429	32	252	11
430	32	253	12
431	32	39	13
432	32	81	14
433	33	1	1
434	33	2	2
435	33	3	3
436	33	4	4
437	33	81	5
438	33	73	6
439	33	254	7
440	33	255	8
441	33	256	9
442	33	257	10
443	33	258	11
444	33	259	12
445	33	260	13
446	33	39	14
447	34	1	1
448	34	2	2
449	34	3	3
450	34	4	4
451	34	136	5
452	34	261	6
453	34	262	7
454	34	263	8
455	34	264	9
456	34	265	10
457	35	1	1
458	35	2	2
459	35	3	3
460	35	4	4
461	35	266	5
462	35	267	6
463	35	268	7
464	35	269	8
465	35	270	9
466	35	271	10
467	35	272	11
