sprechrolleID	personID	pseudonymID
713	5	
714	6	
715	97	
716	182	
717	164	
718	108	
719	135	
720	190	
721	191	
722	188	
723	189	
724	192	
725	3	
726	4	
727	5	
728	6	
729	182	
730	193	
731	194	
732	195	
733	196	
734	112	
735	11	
736	197	
737	164	
738	108	
739	3	
740	4	
741	5	
742	6	
743	199	
744	106	
745	200	
746	14	
747	201	
748	202	
749	203	
750	204	
751	3	
752	4	
753	5	
754	6	
755	16	
756	44	5
757	205	
758	206	
759	207	
760	208	
761	161	
762	202	
763	209	
764	3	
765	4	
766	5	
767	6	
768	210	
769	199	
770	211	
771	190	
772	181	
773	201	
774	212	
775	209	
776	213	
777	3	
778	4	
779	5	
780	6	
781	111	
782	16	
783	214	
784	208	
785	215	
786	157	
787	216	
788	217	
789	218	
790	219	51
791	3	
792	4	
793	5	
794	6	
795	168	
796	221	
797	222	
798	14	
799	223	
800	120	
801	103	
802	224	
803	225	
804	24	
805	3	
806	4	
807	5	
808	6	
809	130	
810	226	
811	110	
812	24	
813	225	
814	227	
815	228	
816	161	
817	222	
818	103	
819	3	
820	4	
821	5	
822	6	
823	16	
824	229	
825	230	
826	149	
827	44	5
828	193	
829	161	
830	182	
831	168	
832	142	
833	3	
834	4	
835	5	
836	6	
837	16	
838	14	
839	196	
840	231	
841	43	
842	232	
843	233	
844	150	
845	142	
846	220	52
847	234	
848	4	
849	5	
850	6	
851	230	
852	218	
853	205	
854	232	
855	37	
856	235	
857	108	
858	33	
859	153	
860	236	
861	196	
862	143	
863	234	
864	4	
865	5	
866	6	
867	168	
868	41	
869	237	
870	238	
871	190	
872	239	
873	240	
874	241	
875	234	
876	4	
877	5	
878	6	
879	153	
880	242	
881	110	
882	41	
883	123	
884	243	
885	228	
886	244	
887	229	
888	234	
889	4	
890	5	
891	6	
892	245	
893	246	
894	247	
895	228	
896	234	
897	4	
898	5	
899	6	
900	248	
901	249	
902	16	
903	44	5
904	168	
905	182	
906	235	
907	45	
908	111	
909	250	
910	26	
911	220	
912	234	
913	4	
914	5	
915	6	
916	251	
917	252	
918	190	
919	210	
920	253	
921	196	
922	254	
923	150	
924	168	
925	255	
926	234	
927	4	
928	5	
929	6	
930	111	
931	44	5
932	16	
933	168	
934	256	
935	257	
936	258	
937	259	
938	260	
939	261	
940	262	
941	263	
942	264	
943	234	
944	4	
945	5	
946	6	
947	37	
948	265	
949	266	
950	267	
951	268	
952	251	
953	261	
954	259	
955	269	
956	270	
957	271	
958	272	
959	234	
960	4	
961	5	
962	6	
963	274	
964	170	
965	275	
966	276	
967	182	
968	277	
969	74	
970	37	
971	234	
972	4	
973	5	
974	6	
975	44	5
976	16	
977	278	
978	170	
979	168	
980	279	
981	280	
982	157	
983	281	
984	282	
985	283	
986	284	
987	234	
988	4	
989	5	
990	6	
991	26	
992	130	
993	285	
994	225	
995	286	
996	265	
997	287	
998	234	
999	4	
1000	5	
1001	6	
1002	10	
1003	130	
1004	288	
1005	37	
1006	279	
1007	289	
1008	290	
1009	291	
1010	212	
1011	234	
1012	4	
1013	5	
1014	6	
1015	293	
1016	294	
1017	295	
1018	296	
1019	56	
1020	196	
1021	254	
1022	106	
1023	297	
1024	150	
1025	220	52
1026	234	
1027	4	
1028	5	
1029	6	
1030	16	
1031	44	5
1032	100	
1033	14	
1034	161	
1035	298	
1036	86	
1037	299	
1038	300	
1039	297	
1040	234	
1041	4	
1042	5	
1043	6	
1044	301	
1045	247	
1046	302	
1047	303	53
1048	304	54
1049	305	55
1050	306	
1051	307	
1052	308	
1053	309	
1054	310	
1055	234	
1056	4	
1057	5	
1058	6	
1059	311	
1060	312	
1061	313	56
1062	234	
1063	4	
1064	5	
1065	6	
1066	182	
1067	314	
1068	315	
1069	316	
1070	295	
1071	111	
1072	133	
1073	300	
1074	26	
1075	234	
1076	4	
1077	5	
1078	6	
1079	317	
1080	318	
1081	319	
1082	320	
1083	321	
1084	234	
1085	4	
1086	5	
1087	6	
1088	40	
1089	322	
1090	136	
1091	323	
1092	324	
1093	265	
1094	325	
1095	234	
1096	4	
1097	5	
1098	6	
1099	326	
1100	327	
1101	63	
1102	325	
1103	328	
1104	234	
1105	4	
1106	5	
1107	6	
1108	32	
1109	210	
1110	36	
1111	329	
1112	330	
1113	106	
1114	331	
1115	234	
1116	4	
1117	5	
1118	6	
1119	14	
1120	106	
1121	149	
1122	236	
1123	332	
1124	307	
1125	157	
1126	234	
1127	4	
1128	5	
1129	6	
1130	168	
1131	334	
1132	177	
1133	281	
1134	335	
1135	67	
1136	336	
1137	252	
1138	337	
1139	234	
1140	4	
1141	5	
1142	6	
1143	97	
1144	338	
1145	332	
1146	123	
1147	339	
1148	340	
1149	10	
1150	37	
1151	307	
1152	341	
1153	150	
1154	130	
1155	157	
1156	342	
1157	234	
1158	4	
1159	5	
1160	6	
1161	14	
1162	168	
1163	343	
1164	130	
1165	344	
1166	345	
1167	346	
1168	234	
1169	4	
1170	5	
1171	6	
1172	347	
1173	348	
1174	349	
1175	234	
1176	4	
1177	5	
1178	6	
1179	65	
1180	250	
1181	47	
1182	350	
1183	234	
1184	4	
1185	5	
1186	6	
1187	51	
1188	277	
1189	351	
1190	352	
1191	234	
1192	4	
1193	5	
1194	6	
1195	353	
1196	32	
1197	16	
1198	44	5
1199	354	
1200	234	
1201	4	
1202	5	
1203	6	
1204	16	
1205	39	
1206	355	
1207	356	
1208	168	
1209	283	57
1210	357	
1211	218	
1212	352	
1213	234	
1214	4	
1215	5	
1216	6	
1217	326	
1218	327	
1219	358	
1220	359	
1221	360	
1222	110	
1223	234	
1224	4	
1225	5	
1226	6	
1227	16	
1228	361	
1229	362	
1230	191	
1231	26	
1232	108	
1233	363	
1234	86	
1235	234	
1236	4	
1237	5	
1238	6	
1239	37	
1240	364	
1241	44	5
1242	365	
1243	366	
1244	234	
1245	4	
1246	5	
1247	6	
1248	76	
1249	80	
1250	362	
1251	367	
1252	41	
1253	258	
1254	368	
1255	63	
1256	369	
1257	19	58
1258	234	
1259	4	
1260	5	
1261	6	
1262	16	
1263	168	
1264	370	
1265	288	
1266	71	
1267	227	
1268	371	
1269	372	
1270	112	
1271	373	
1272	220	
1273	234	
1274	4	
1275	5	
1276	6	
1277	14	
1278	326	
1279	246	
1280	374	
1281	375	
1282	376	
1283	234	
1284	4	
1285	5	
1286	6	
1287	14	
1288	14	
1289	326	
1290	377	
1291	246	
1292	374	
1293	375	
1294	376	
1295	367	
1296	247	
1297	378	
1298	234	
1299	4	
1300	5	
1301	6	
1302	326	
1303	377	
1304	246	
1305	374	
1306	375	
1307	376	
1308	247	
1309	378	
1310	234	
1311	4	
1312	5	
1313	6	
1314	379	
1315	380	
1316	37	
1317	354	
1318	381	
1319	210	
1320	382	
1321	212	
1322	234	
1323	4	
1324	5	
1325	6	
1326	168	
1327	383	
1328	354	
1329	85	
1330	220	
1331	234	
1332	4	
1333	5	
1334	6	
1335	384	
1336	13	2
1337	16	
1338	385	
1339	386	
1340	387	
1341	312	
1342	388	
1343	4	
1344	5	
1345	6	
1346	389	
1347	390	
1348	391	
1349	392	
1350	393	
1351	168	
1352	16	
1353	388	
1354	4	
1355	5	
1356	6	
1357	394	
1358	97	
1359	395	
1360	332	
1361	147	
1362	139	
1363	388	
1364	4	
1365	5	
1366	6	
1367	37	
1368	380	
1369	168	
1370	396	
1371	397	
1372	398	59
1373	399	
1374	400	
1375	401	
1376	139	
1377	380	60
1378	16	
1379	402	
1380	388	
1381	4	
1382	5	
1383	6	
1384	14	
1385	403	
1386	404	
1387	405	
1388	406	
1389	407	
1390	191	
1391	89	
1392	388	
1393	4	
1394	5	
1395	6	
1396	408	
1397	222	
1398	51	
1399	196	
1400	388	
1401	4	
1402	5	
1403	6	
1404	410	
1405	150	
1406	149	
1407	285	
1408	411	
1409	412	
1410	413	
1411	414	
1412	415	
1413	388	
1414	4	
1415	5	
1416	6	
1417	168	
1418	416	
1419	417	
1420	313	
1421	418	
1422	172	
1423	419	
1424	149	
1425	51	
1426	420	
1427	388	
1428	4	
1429	5	
1430	6	
1431	421	
1432	94	
1433	422	
1434	423	
1435	424	
1436	425	
1437	426	
1438	361	
1439	427	
1440	76	
1441	86	
1442	428	
1443	388	
1444	4	
1445	5	
1446	6	
1447	77	
1448	429	
1449	430	
1450	431	
1451	432	
1452	433	
1453	388	
1454	4	
1455	5	
1456	6	
1457	434	
1458	334	
1459	75	
1460	47	
1461	435	
1462	16	
1463	388	
1464	4	
1465	5	
1466	6	
1467	16	
1468	14	
1469	219	
1470	64	
1471	436	
1472	391	
1473	431	
1474	388	
1475	4	
1476	5	
1477	6	
1478	44	5
1479	97	
1480	168	
1481	437	
1482	438	
1483	439	
1484	124	
1485	138	
1486	440	
1487	441	
1488	388	
1489	4	
1490	5	
1491	6	
1492	168	
1493	442	
1494	443	
1495	255	
1496	45	
1497	444	
1498	354	
1499	388	
1500	4	
1501	5	
1502	6	
1503	14	
1504	44	5
1505	168	
1506	220	
1507	71	
1508	108	
1509	445	
1510	446	
1511	365	
1512	388	
1513	4	
1514	5	
1515	6	
1516	97	
1517	414	
1518	343	
1519	447	
1520	11	
1521	448	
1522	449	
1523	450	
1524	451	
1525	354	
1526	452	
1527	388	
1528	4	
1529	5	
1530	6	
1531	44	5
1532	453	
1533	454	
1534	455	
1535	189	
1536	40	
1537	456	
1538	457	
1539	277	
1540	388	
1541	4	
1542	5	
1543	6	
1544	458	
1545	459	
1546	460	
1547	461	
1548	462	
1549	388	
1550	4	
1551	5	
1552	6	
1553	120	
1554	464	
1555	110	
1556	397	
1557	168	
1558	327	
1559	465	
1560	218	
1561	220	
1562	388	
1563	4	
1564	5	
1565	6	
1566	466	
1567	467	
1568	257	
1569	445	
1570	354	
1571	250	
1572	468	
1573	388	
1574	4	
1575	5	
1576	6	
1577	44	5
1578	16	
1579	168	
1580	97	
1581	313	
1582	473	
1583	71	
1584	474	
1585	470	
1586	19	
1587	388	
1588	4	
1589	5	
1590	6	
1591	112	
1592	25	
1593	475	
1594	476	
1595	32	
1596	417	
1597	388	
1598	4	
1599	5	
1600	6	
1601	415	
1602	288	
1603	477	
1604	396	
1605	177	
1606	168	
1607	478	
1608	388	
1609	4	
1610	5	
1611	6	
1612	16	
1613	44	5
1614	148	
1615	149	
1616	479	
1617	480	
1618	265	
1619	150	
1620	374	
1621	481	
1622	470	
1623	388	
1624	4	
1625	5	
1626	6	
